longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,Social_Security_No
-122.28,37.84,52,729,160,395,155,1.6875,NEAR BAY,132000,37203
-122.28,37.84,49,1916,447,863,378,1.9274,NEAR BAY,122300,43657
-122.28,37.84,52,2153,481,1168,441,1.9615,NEAR BAY,115200,39475
-122.27,37.84,48,1922,409,1026,335,1.7969,NEAR BAY,110400,48958
-122.27,37.83,49,1655,366,754,329,1.375,NEAR BAY,104900,30335
-122.27,37.83,51,2665,574,1258,536,2.7303,NEAR BAY,109700,44011
-122.27,37.83,49,1215,282,570,264,1.4861,NEAR BAY,97200,34546
-122.27,37.83,48,1798,432,987,374,1.0972,NEAR BAY,104500,44818
-122.28,37.83,52,1511,390,901,403,1.4103,NEAR BAY,103900,40042
-122.26,37.83,52,1470,330,689,309,3.48,NEAR BAY,191400,35002
-122.26,37.83,52,2432,715,1377,696,2.5898,NEAR BAY,176000,49838
-122.26,37.83,52,1665,419,946,395,2.0978,NEAR BAY,155400,33199
-122.26,37.83,51,936,311,517,249,1.2852,NEAR BAY,150000,40899
-122.26,37.84,49,713,202,462,189,1.025,NEAR BAY,118800,30462
-122.26,37.84,52,950,202,467,198,3.9643,NEAR BAY,188800,34905
-122.26,37.83,52,1443,311,660,292,3.0125,NEAR BAY,184400,37132
-122.26,37.83,52,1656,420,718,382,2.6768,NEAR BAY,182300,36088
-122.26,37.83,50,1125,322,616,304,2.026,NEAR BAY,142500,49034
-122.27,37.82,43,1007,312,558,253,1.7348,NEAR BAY,137500,35757
-122.26,37.82,40,624,195,423,160,0.9506,NEAR BAY,187500,42916
-122.27,37.82,40,946,375,700,352,1.775,NEAR BAY,112500,37069
-122.27,37.82,21,896,453,735,438,0.9218,NEAR BAY,171900,36812
-122.27,37.82,43,1868,456,1061,407,1.5045,NEAR BAY,93800,41269
-122.27,37.82,41,3221,853,1959,720,1.1108,NEAR BAY,97500,31396
-122.27,37.82,52,1630,456,1162,400,1.2475,NEAR BAY,104200,43636
-122.28,37.82,52,1170,235,701,233,1.6098,NEAR BAY,87500,36406
-122.28,37.82,52,945,243,576,220,1.4113,NEAR BAY,83100,31481
-122.28,37.82,52,1238,288,622,259,1.5057,NEAR BAY,87500,40212
-122.28,37.82,52,1489,335,728,244,0.8172,NEAR BAY,85300,34545
-122.28,37.82,52,1387,341,1074,304,1.2171,NEAR BAY,80300,43456
-122.29,37.82,2,158,43,94,57,2.5625,NEAR BAY,60000,33527
-122.29,37.83,52,1121,211,554,187,3.3929,NEAR BAY,75700,43351
-122.29,37.82,49,135,29,86,23,6.1183,NEAR BAY,75000,49110
-122.29,37.81,50,760,190,377,122,0.9011,NEAR BAY,86100,43228
-122.3,37.81,52,1224,237,521,159,1.191,NEAR BAY,76100,44059
-122.3,37.81,48,828,182,392,133,2.5938,NEAR BAY,73500,33976
-122.3,37.81,52,1010,209,604,187,1.1667,NEAR BAY,78400,46811
-122.3,37.81,48,1455,354,788,332,0.8056,NEAR BAY,84400,39390
-122.29,37.8,52,1027,244,492,147,2.6094,NEAR BAY,81300,40196
-122.3,37.81,52,572,109,274,82,1.8516,NEAR BAY,85000,40514
-122.29,37.81,46,2801,644,1823,611,0.9802,NEAR BAY,129200,43218
-122.29,37.81,26,768,152,392,127,1.7719,NEAR BAY,82500,49537
-122.29,37.81,46,935,297,582,277,0.7286,NEAR BAY,95200,47114
-122.29,37.81,49,844,204,560,152,1.75,NEAR BAY,75000,43375
-122.29,37.81,46,12,4,18,7,0.4999,NEAR BAY,67500,44850
-122.29,37.81,20,835,161,290,133,2.483,NEAR BAY,137500,40102
-122.28,37.81,17,1237,462,762,439,0.9241,NEAR BAY,177500,48134
-122.28,37.81,36,2914,562,1236,509,2.4464,NEAR BAY,102100,38318
-122.28,37.81,19,1207,243,721,207,1.1111,NEAR BAY,108300,35612
-122.29,37.81,23,1745,374,1054,325,0.8026,NEAR BAY,112500,38551
-122.28,37.8,38,684,176,344,155,2.0114,NEAR BAY,131300,48172
-122.28,37.81,17,924,289,609,289,1.5,NEAR BAY,162500,49573
-122.27,37.81,52,210,56,183,56,1.1667,NEAR BAY,112500,36654
-122.28,37.81,52,340,97,200,87,1.5208,NEAR BAY,112500,44491
-122.28,37.81,52,386,164,346,155,0.8075,NEAR BAY,137500,40112
-122.28,37.81,35,948,184,467,169,1.8088,NEAR BAY,118800,30165
-122.28,37.81,52,773,143,377,115,2.4083,NEAR BAY,98200,39436
-122.27,37.81,40,880,451,582,380,0.977,NEAR BAY,118800,32023
-122.27,37.81,10,875,348,546,330,0.76,NEAR BAY,162500,31033
-122.27,37.8,10,105,42,125,39,0.9722,NEAR BAY,137500,36894
-122.27,37.8,52,249,78,396,85,1.2434,NEAR BAY,500001,45378
-122.27,37.8,16,994,392,800,362,2.0938,NEAR BAY,162500,48691
-122.28,37.8,52,215,87,904,88,0.8668,NEAR BAY,137500,45691
-122.28,37.8,52,96,31,191,34,0.75,NEAR BAY,162500,49312
-122.27,37.79,27,1055,347,718,302,2.6354,NEAR BAY,187500,31169
-122.27,37.8,39,1715,623,1327,467,1.8477,NEAR BAY,179200,43427
-122.26,37.8,36,5329,2477,3469,2323,2.0096,NEAR BAY,130000,42832
-122.26,37.82,31,4596,1331,2048,1180,2.8345,NEAR BAY,183800,35206
-122.26,37.81,29,335,107,202,91,2.0062,NEAR BAY,125000,41561
-122.26,37.82,22,3682,1270,2024,1250,1.2185,NEAR BAY,170000,34344
-122.26,37.82,37,3633,1085,1838,980,2.6104,NEAR BAY,193100,32210
-122.25,37.81,29,4656,1414,2304,1250,2.4912,NEAR BAY,257800,38579
-122.25,37.81,28,5806,1603,2563,1497,3.2177,NEAR BAY,273400,37578
-122.25,37.81,39,854,242,389,228,3.125,NEAR BAY,237500,31712
-122.25,37.81,52,2155,701,895,613,2.5795,NEAR BAY,350000,46819
-122.26,37.81,34,5871,1914,2689,1789,2.8406,NEAR BAY,335700,36760
-122.24,37.82,52,1509,225,674,244,4.9306,NEAR BAY,313400,38436
-122.24,37.81,52,2026,482,709,456,3.2727,NEAR BAY,268500,35459
-122.25,37.81,52,1758,460,686,422,3.1691,NEAR BAY,259400,33444
-122.24,37.82,52,3481,751,1444,718,3.9,NEAR BAY,275700,46068
-122.25,37.82,28,3337,855,1520,802,3.9063,NEAR BAY,225000,45538
-122.25,37.82,52,1424,289,550,253,5.0917,NEAR BAY,262500,35537
-122.25,37.82,32,3809,1098,1806,1022,2.6429,NEAR BAY,218500,41015
-122.25,37.82,26,3959,1196,1749,1217,3.0233,NEAR BAY,255000,45541
-122.25,37.83,52,2376,559,939,519,3.1484,NEAR BAY,224100,47073
-122.25,37.83,35,1613,428,675,422,3.4722,NEAR BAY,243100,42759
-122.25,37.83,52,1279,287,534,291,3.1429,NEAR BAY,231600,35830
-122.25,37.83,28,5022,1750,2558,1661,2.4234,NEAR BAY,218500,47278
-122.25,37.83,52,4190,1105,1786,1037,3.0897,NEAR BAY,234100,43466
-122.23,37.84,50,2515,399,970,373,5.8596,NEAR BAY,327600,31159
-122.23,37.84,47,3175,454,1098,485,5.2868,NEAR BAY,347600,41039
-122.24,37.83,41,2576,406,794,376,5.956,NEAR BAY,366100,37556
-122.24,37.85,37,334,54,98,47,4.9643,NEAR BAY,335000,37029
-122.23,37.85,52,2800,411,1061,403,6.3434,NEAR BAY,373600,37377
-122.24,37.84,52,3529,574,1177,555,5.1773,NEAR BAY,389500,45170
-122.24,37.85,52,2612,365,901,367,7.2354,NEAR BAY,391100,42619
-122.22,37.85,28,5287,1048,2031,956,5.457,NEAR BAY,337300,36698
-122.22,37.84,50,2935,473,1031,479,7.5,NEAR BAY,295200,46920
-122.21,37.84,44,3424,597,1358,597,6.0194,NEAR BAY,292300,42718
-122.21,37.83,40,4991,674,1616,654,7.5544,NEAR BAY,411500,41955
-122.2,37.84,30,2211,346,844,343,6.0666,NEAR BAY,311500,30272
-122.21,37.84,34,3038,490,1140,496,7.0548,NEAR BAY,325900,31859
-122.19,37.84,18,1617,210,533,194,11.6017,NEAR BAY,392600,34456
-122.2,37.84,35,2865,460,1072,443,7.4882,NEAR BAY,319300,31111
-122.21,37.83,34,5065,788,1627,766,6.8976,NEAR BAY,333300,41587
-122.19,37.83,28,1326,184,463,190,8.2049,NEAR BAY,335200,31679
-122.2,37.83,26,1589,223,542,211,8.401,NEAR BAY,351200,41316
-122.19,37.83,29,1791,271,661,269,6.8538,NEAR BAY,368900,39393
-122.19,37.82,32,1835,264,635,263,8.317,NEAR BAY,365900,35711
-122.2,37.82,37,1229,181,420,176,7.0175,NEAR BAY,366700,34239
-122.2,37.82,39,3770,534,1265,500,6.3302,NEAR BAY,362800,40385
-122.18,37.81,30,292,38,126,52,6.3624,NEAR BAY,483300,44325
-122.21,37.82,52,2375,333,813,350,7.0549,NEAR BAY,331400,33845
-122.2,37.81,45,2964,436,1067,426,6.7851,NEAR BAY,323500,33424
-122.21,37.8,50,2833,605,1260,552,2.8929,NEAR BAY,216700,48032
-122.21,37.8,38,2254,535,951,487,3.0812,NEAR BAY,233100,38084
-122.21,37.81,52,1389,212,510,224,5.2402,NEAR BAY,296400,32699
-122.22,37.81,52,1971,335,765,308,6.5217,NEAR BAY,273700,40688
-122.22,37.8,52,2183,465,1129,460,3.2632,NEAR BAY,227700,31597
-122.22,37.8,52,2286,464,1073,441,3.0298,NEAR BAY,199600,41679
-122.22,37.8,52,2721,541,1185,515,4.5428,NEAR BAY,239800,39842
-122.22,37.81,52,2024,339,756,340,4.072,NEAR BAY,270100,46361
-122.22,37.81,52,2944,536,1034,521,5.3509,NEAR BAY,302100,39922
-122.23,37.8,52,2033,486,787,459,3.1603,NEAR BAY,269500,47920
-122.23,37.81,52,1433,229,612,213,4.7708,NEAR BAY,314700,48297
-122.22,37.81,52,2927,402,1021,380,8.1564,NEAR BAY,390100,34965
-122.23,37.81,52,2315,292,861,258,8.8793,NEAR BAY,410300,33484
-122.24,37.81,52,2485,313,953,327,6.8591,NEAR BAY,352400,44256
-122.24,37.81,52,1490,238,634,256,6.0302,NEAR BAY,287300,44013
-122.23,37.81,52,2814,365,878,352,7.508,NEAR BAY,348700,34089
-122.24,37.81,52,2093,550,918,483,2.7477,NEAR BAY,243800,38716
-122.24,37.8,52,888,168,360,175,2.1944,NEAR BAY,211500,42388
-122.25,37.8,52,2087,510,1197,488,3.0149,NEAR BAY,218400,35690
-122.24,37.81,52,2513,502,1048,518,3.675,NEAR BAY,269900,38125
-122.25,37.81,46,3232,835,1373,747,3.225,NEAR BAY,218800,48194
-122.25,37.8,42,4120,1065,1715,1015,2.9345,NEAR BAY,225000,41829
-122.25,37.8,43,2364,792,1359,722,2.1429,NEAR BAY,250000,35632
-122.25,37.8,41,1471,469,1062,413,1.6121,NEAR BAY,171400,32222
-122.25,37.8,29,2468,864,1335,773,1.3929,NEAR BAY,193800,49077
-122.24,37.79,27,1632,492,1171,429,2.3173,NEAR BAY,125000,36722
-122.25,37.79,45,1786,526,1475,460,1.7772,NEAR BAY,97500,43196
-122.25,37.79,50,629,188,742,196,2.6458,NEAR BAY,125000,32728
-122.25,37.79,52,1339,391,1086,363,2.181,NEAR BAY,138800,43814
-122.25,37.8,36,1678,606,1645,543,2.2303,NEAR BAY,116700,36899
-122.25,37.8,43,2344,647,1710,644,1.6504,NEAR BAY,151800,34579
-122.24,37.8,52,996,228,731,228,2.2697,NEAR BAY,127000,37038
-122.24,37.8,52,1591,373,1118,347,2.1563,NEAR BAY,128600,40978
-122.24,37.8,52,1586,398,1006,335,2.1348,NEAR BAY,140600,39503
-122.24,37.8,47,2046,588,1213,554,2.6292,NEAR BAY,182700,30757
-122.23,37.8,52,1192,289,772,257,2.3833,NEAR BAY,146900,42062
-122.24,37.8,52,1803,420,1321,401,2.957,NEAR BAY,122800,40102
-122.24,37.8,49,2838,749,1487,677,2.5238,NEAR BAY,169300,34390
-122.23,37.8,52,783,184,488,186,1.9375,NEAR BAY,126600,31494
-122.23,37.8,51,1590,414,949,392,1.9028,NEAR BAY,127900,42361
-122.23,37.8,50,1746,480,1149,415,2.25,NEAR BAY,123500,36284
-122.23,37.8,52,1252,299,844,280,2.3929,NEAR BAY,111900,33745
-122.23,37.79,43,5963,1344,4367,1231,2.1917,NEAR BAY,112800,48333
-122.23,37.79,52,1783,395,1659,412,2.9357,NEAR BAY,107900,30722
-122.23,37.79,30,999,264,1011,263,1.8854,NEAR BAY,137500,31925
-122.24,37.79,39,1469,431,1464,389,2.1638,NEAR BAY,105500,43453
-122.24,37.79,47,1372,395,1237,303,2.125,NEAR BAY,95500,40134
-122.24,37.79,52,674,180,647,168,3.375,NEAR BAY,116100,30967
-122.24,37.79,43,1626,376,1284,357,2.2542,NEAR BAY,112200,35122
-122.25,37.79,51,175,43,228,55,2.1,NEAR BAY,75000,48667
-122.25,37.79,39,461,129,381,123,1.6,NEAR BAY,112500,41874
-122.25,37.79,52,902,237,846,227,3.625,NEAR BAY,125000,43663
-122.26,37.8,20,2373,779,1659,676,1.6929,NEAR BAY,115000,33220
-122.22,37.77,52,391,128,520,138,1.6471,NEAR BAY,95000,38526
-122.22,37.77,52,1137,301,866,259,2.59,NEAR BAY,96400,32910
-122.23,37.77,52,769,206,612,183,2.57,NEAR BAY,72000,36968
-122.23,37.78,52,472,146,415,126,2.6429,NEAR BAY,71300,44985
-122.23,37.78,52,862,215,994,213,3.0257,NEAR BAY,80800,41858
-122.22,37.78,50,1920,530,1525,477,1.4886,NEAR BAY,128800,44486
-122.23,37.78,43,1420,472,1506,438,1.9338,NEAR BAY,112500,31090
-122.23,37.78,52,986,258,1008,255,1.4844,NEAR BAY,119400,39078
-122.23,37.78,44,2340,825,2813,751,1.6009,NEAR BAY,118100,40967
-122.23,37.79,48,1696,396,1481,343,2.0375,NEAR BAY,122500,33142
-122.23,37.79,49,1175,217,859,219,2.293,NEAR BAY,106300,33135
-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY,132500,36665
-122.23,37.79,30,610,145,425,140,1.6198,NEAR BAY,122700,37977
-122.23,37.79,40,930,199,564,184,1.3281,NEAR BAY,113300,43562
-122.22,37.79,44,1487,314,961,272,3.5156,NEAR BAY,109500,48992
-122.22,37.79,52,3424,690,2273,685,3.9048,NEAR BAY,164700,43555
-122.21,37.79,52,762,190,600,195,3.0893,NEAR BAY,125000,31655
-122.22,37.79,46,2366,575,1647,527,2.6042,NEAR BAY,124700,39378
-122.22,37.79,49,1826,450,1201,424,2.5,NEAR BAY,136700,39563
-122.22,37.79,38,3049,711,2167,659,2.7969,NEAR BAY,141700,45512
-122.2,37.79,29,1640,376,939,340,2.8321,NEAR BAY,150000,38798
-122.21,37.79,47,1543,307,859,292,2.9583,NEAR BAY,138800,34003
-122.21,37.79,34,2364,557,1517,516,2.8365,NEAR BAY,139200,35964
-122.21,37.79,35,1745,409,1143,386,2.875,NEAR BAY,143800,38942
-122.21,37.8,39,2003,500,1109,464,3.0682,NEAR BAY,156500,49137
-122.21,37.8,39,2018,447,1221,446,3.0757,NEAR BAY,151000,47891
-122.2,37.8,43,3045,499,1115,455,4.9559,NEAR BAY,273000,39783
-122.2,37.8,52,1547,293,706,268,4.7721,NEAR BAY,217100,41227
-122.21,37.8,52,3519,711,1883,706,3.4861,NEAR BAY,187100,39330
-122.2,37.8,41,2070,354,804,340,5.1184,NEAR BAY,239600,44422
-122.21,37.8,48,1321,263,506,252,4.0977,NEAR BAY,229700,40418
-122.19,37.8,48,1694,259,610,238,4.744,NEAR BAY,257300,48694
-122.19,37.8,46,1938,341,768,332,4.2727,NEAR BAY,246900,38979
-122.19,37.79,50,968,195,462,184,2.9844,NEAR BAY,179900,40260
-122.2,37.79,40,1060,256,667,235,4.1739,NEAR BAY,169600,42048
-122.2,37.8,46,2041,405,1059,399,3.8487,NEAR BAY,203300,48822
-122.19,37.8,52,1813,271,637,277,4.0114,NEAR BAY,263400,46074
-122.19,37.79,45,2718,451,1106,454,4.6563,NEAR BAY,231800,48526
-122.19,37.79,28,3144,761,1737,669,2.9297,NEAR BAY,140500,43564
-122.2,37.79,35,1802,459,1009,390,2.3036,NEAR BAY,126000,44800
-122.2,37.79,49,882,195,737,210,2.6667,NEAR BAY,122000,44541
-122.2,37.79,44,1621,452,1354,491,2.619,NEAR BAY,134700,42816
-122.21,37.79,45,2115,533,1530,474,2.4167,NEAR BAY,139400,49324
-122.2,37.79,45,2021,528,1410,480,2.7788,NEAR BAY,115400,39018
-122.21,37.78,46,2239,508,1390,569,2.7352,NEAR BAY,137300,45440
-122.21,37.78,52,1477,300,1065,269,1.8472,NEAR BAY,137000,36571
-122.21,37.78,52,1056,224,792,245,2.6583,NEAR BAY,142600,41637
-122.21,37.78,49,898,244,779,245,3.0536,NEAR BAY,137500,34513
-122.22,37.78,44,2968,710,2269,610,2.3906,NEAR BAY,111700,40636
-122.21,37.78,43,1702,460,1227,407,1.7188,NEAR BAY,126800,46067
-122.21,37.78,47,881,248,753,241,2.625,NEAR BAY,111300,36309
-122.22,37.77,40,494,114,547,135,2.8015,NEAR BAY,114800,39184
-122.22,37.78,50,1776,473,1807,440,1.7276,NEAR BAY,102300,39845
-122.22,37.78,44,1678,514,1700,495,2.0801,NEAR BAY,131900,43530
-122.22,37.78,51,1637,463,1543,393,2.489,NEAR BAY,119100,47341
-122.21,37.76,52,1420,314,1085,300,1.7546,NEAR BAY,80600,49048
-122.21,37.77,52,591,173,353,137,4.0904,NEAR BAY,80600,32223
-122.21,37.77,52,745,153,473,149,2.6765,NEAR BAY,88800,41529
-122.2,37.77,49,2272,498,1621,483,2.4338,NEAR BAY,102400,39429
-122.21,37.77,46,1234,375,1183,354,2.3309,NEAR BAY,98700,38157
-122.21,37.77,43,1017,328,836,277,2.2604,NEAR BAY,100000,32373
-122.19,37.77,42,932,254,900,263,1.8039,NEAR BAY,92300,36816
-122.2,37.77,39,2689,597,1888,537,2.2562,NEAR BAY,94800,46429
-122.2,37.77,41,1547,415,1024,341,2.0562,NEAR BAY,102000,33502
-122.2,37.78,52,2300,443,1225,423,3.5398,NEAR BAY,158400,31845
-122.2,37.78,39,1752,399,1071,376,3.1167,NEAR BAY,121600,33189
-122.2,37.78,50,1867,403,1128,378,2.5401,NEAR BAY,129100,47750
-122.2,37.77,43,2430,502,1537,484,2.898,NEAR BAY,121400,36769
-122.21,37.78,44,1729,414,1240,393,2.3125,NEAR BAY,102800,39819
-122.19,37.78,52,1026,180,469,168,2.875,NEAR BAY,160000,32120
-122.19,37.77,52,2170,428,1086,425,3.3715,NEAR BAY,143900,32502
-122.19,37.77,52,2329,445,1144,417,3.5114,NEAR BAY,151200,39177
-122.19,37.78,52,2492,415,1109,375,4.3125,NEAR BAY,164400,40063
-122.19,37.78,52,2198,397,984,369,3.22,NEAR BAY,156500,40308
-122.18,37.78,33,142,31,575,47,3.875,NEAR BAY,225000,36902
-122.19,37.78,49,1183,205,496,209,5.2328,NEAR BAY,174200,33345
-122.19,37.78,52,1070,193,555,190,3.7262,NEAR BAY,166900,43734
-122.2,37.78,45,1766,332,869,327,4.5893,NEAR BAY,163500,49253
-122.18,37.79,39,617,95,236,106,5.2578,NEAR BAY,253000,39753
-122.18,37.79,41,1411,233,626,214,7.0875,NEAR BAY,240700,49161
-122.18,37.79,46,2109,387,922,329,3.9712,NEAR BAY,208100,40872
-122.19,37.79,47,1229,243,582,256,2.9514,NEAR BAY,198100,32150
-122.19,37.79,50,954,217,546,201,2.6667,NEAR BAY,172800,40338
-122.18,37.81,37,1643,262,620,266,5.4446,NEAR BAY,336700,48377
-122.18,37.8,34,1355,195,442,195,6.2838,NEAR BAY,318200,45402
-122.18,37.8,23,2317,336,955,328,6.7527,NEAR BAY,285800,30882
-122.13,37.77,24,2459,317,916,324,7.0712,NEAR BAY,293000,48381
-122.16,37.79,22,12842,2048,4985,1967,5.9849,NEAR BAY,371000,47306
-122.17,37.78,42,1524,260,651,267,3.6875,NEAR BAY,157300,39669
-122.17,37.77,30,3326,746,1704,703,2.875,NEAR BAY,135300,36700
-122.18,37.78,43,1985,440,1085,407,3.4205,NEAR BAY,136700,43968
-122.18,37.78,50,1642,322,713,284,3.2984,NEAR BAY,160700,49920
-122.17,37.78,49,893,177,468,181,3.875,NEAR BAY,140600,36615
-122.17,37.78,52,653,128,296,121,4.175,NEAR BAY,144000,32397
-122.16,37.77,47,1256,,570,218,4.375,NEAR BAY,161900,40617
-122.16,37.77,48,977,194,446,180,4.7708,NEAR BAY,156300,49846
-122.16,37.77,45,2324,397,968,384,3.5739,NEAR BAY,176000,38053
-122.16,37.77,39,1583,349,857,316,3.0958,NEAR BAY,145800,38131
-122.17,37.77,39,1612,342,912,322,3.3958,NEAR BAY,141900,31165
-122.17,37.77,31,2424,533,1360,452,1.871,NEAR BAY,90700,43029
-122.17,37.76,41,1594,367,1074,355,1.9356,NEAR BAY,90600,39787
-122.17,37.76,47,2118,413,965,382,2.1842,NEAR BAY,107900,31932
-122.18,37.76,37,1575,358,933,320,2.2917,NEAR BAY,107000,37319
-122.17,37.76,38,1764,397,987,354,2.4333,NEAR BAY,98200,45394
-122.18,37.76,50,1187,261,907,246,1.9479,NEAR BAY,89500,38208
-122.18,37.76,52,754,175,447,165,3.9063,NEAR BAY,93800,45140
-122.18,37.76,49,2308,452,1299,451,1.8407,NEAR BAY,96700,43544
-122.18,37.77,27,909,236,396,157,2.0786,NEAR BAY,97500,41862
-122.18,37.77,42,1180,257,877,268,2.8125,NEAR BAY,97300,30130
-122.18,37.76,43,2018,408,1111,367,1.8913,NEAR BAY,91200,37885
-122.19,37.76,49,1368,282,790,269,1.7056,NEAR BAY,91400,36954
-122.18,37.77,52,2744,547,1479,554,2.2768,NEAR BAY,96200,49658
-122.18,37.77,51,2107,471,1173,438,3.2552,NEAR BAY,120100,38500
-122.18,37.77,52,1748,362,1029,366,2.0556,NEAR BAY,100000,41608
-122.19,37.76,52,2024,391,1030,350,2.4659,NEAR BAY,94700,30823
-122.2,37.76,47,1116,259,826,279,1.75,NEAR BAY,85700,34811
-122.19,37.77,41,2036,510,1412,454,2.0469,NEAR BAY,89300,45998
-122.19,37.77,45,1852,393,1132,349,2.7159,NEAR BAY,101400,45825
-122.19,37.76,41,921,207,522,159,1.2083,NEAR BAY,72500,37920
-122.19,37.76,45,995,238,630,237,1.925,NEAR BAY,74100,36509
-122.2,37.75,36,606,132,531,133,1.5809,NEAR BAY,70000,44509
-122.2,37.76,37,2680,736,1925,667,1.4097,NEAR BAY,84600,32062
-122.19,37.76,38,1493,370,1144,351,0.7683,NEAR BAY,81800,49345
-122.19,37.75,19,2207,565,1481,520,1.3194,NEAR BAY,81400,44691
-122.19,37.75,28,856,189,435,162,0.8012,NEAR BAY,81800,41059
-122.19,37.76,26,1293,297,984,303,1.9479,NEAR BAY,85800,38947
-122.19,37.74,36,847,212,567,159,1.1765,NEAR BAY,87100,37587
-122.18,37.74,42,541,154,380,123,2.3456,NEAR BAY,83500,35390
-122.19,37.73,44,1066,253,825,244,2.1538,NEAR BAY,79700,43033
-122.19,37.74,43,707,147,417,155,2.5139,NEAR BAY,83400,46220
-122.19,37.73,45,1528,291,801,287,1.2625,NEAR BAY,84700,44931
-122.18,37.73,42,909,215,646,198,2.9063,NEAR BAY,80000,39331
-122.18,37.73,43,1391,293,855,285,2.5192,NEAR BAY,76400,34244
-122.18,37.73,44,548,119,435,136,2.1111,NEAR BAY,79700,32131
-122.18,37.73,42,4074,874,2736,780,2.455,NEAR BAY,82400,45206
-122.17,37.74,41,1613,445,1481,414,2.4028,NEAR BAY,97700,39481
-122.17,37.74,47,463,134,327,137,2.15,NEAR BAY,97200,38728
-122.17,37.74,43,818,193,494,179,2.4776,NEAR BAY,101600,49903
-122.17,37.73,43,1473,371,1231,341,2.1587,NEAR BAY,86500,34941
-122.18,37.74,35,504,126,323,109,1.8438,NEAR BAY,90500,39589
-122.17,37.74,46,1026,226,749,225,3.0298,NEAR BAY,107600,34681
-122.17,37.74,46,769,183,693,178,2.25,NEAR BAY,84200,36338
-122.18,37.74,46,2103,391,1339,354,2.2467,NEAR BAY,88900,43998
-122.18,37.75,45,330,76,282,80,4.0469,NEAR BAY,80700,43151
-122.18,37.75,46,941,218,621,195,1.325,NEAR BAY,87100,33498
-122.17,37.75,38,992,,732,259,1.6196,NEAR BAY,85100,43012
-122.18,37.75,45,990,261,901,260,2.1731,NEAR BAY,82000,32991
-122.19,37.75,36,1126,263,482,150,1.9167,NEAR BAY,82800,34393
-122.18,37.75,43,1036,233,652,213,2.069,NEAR BAY,84600,40715
-122.18,37.75,36,1047,214,651,166,1.712,NEAR BAY,82100,44988
-122.17,37.76,33,1280,307,999,286,2.5625,NEAR BAY,89300,30436
-122.17,37.75,43,1587,320,907,306,1.9821,NEAR BAY,98300,46912
-122.17,37.75,41,1257,271,828,230,2.5043,NEAR BAY,92300,42038
-122.17,37.75,44,1218,248,763,254,2.3281,NEAR BAY,88800,47858
-122.17,37.75,48,1751,390,935,349,1.4375,NEAR BAY,90000,41804
-122.16,37.76,45,2299,514,1437,484,2.5122,NEAR BAY,95500,44421
-122.16,37.75,38,2457,624,1516,482,1.5625,NEAR BAY,91700,44101
-122.17,37.75,47,998,211,597,185,3.1587,NEAR BAY,100400,48191
-122.17,37.76,40,1685,343,949,342,1.8426,NEAR BAY,94800,41921
